"id","name","description"
303,Sith Hunter,+4 Attack and +10 Damage against Sith enemies.
304,Smuggler's Luck,"If this character is adjacent to a Dejarik ally at the start of a round, roll twice for initiative."
305,Snare Rifle,A character hit by this character's attack cannot move until the end of this round.
306,Sniper,Other characters do not provide cover against this character's attack.
307,Soldier (Old Republic Soldier),Counts as a character named Old Republic Soldier.
308,Sonic Attack,An enemy attacked by this character cannot use Force powers for the rest of that turn.
309,Sonic Stunner,Replaces attacks: range 6; living target and each living character adjacent to that target are considered activated this round; save 11 negates. Huge and larger characters ignore this special ability.
310,Soresu Style,"When hit by an attack from a nonadjacent enemy, this character takes no damage with a save of 11."
311,Soresu Style Mastery,"When hit by an attack, this character takes no damage with a save of 11."
312,Spit Poison 20,Replaces attacks: range 6; 20 damage to target living enemy; save 11.
313,Splash 10,"If this character's attack hits, all characters adjacent to the target take 10 damage; save 11. If the attack misses, the target and all adjacent characters take 10 damage; save 11."
314,Splash 20,"If this character's attack hits, all characters adjacent to the target take 20 damage; save 11. If the attack misses, the target and all adjacent characters take 20 damage; save 11."
315,Spotter +10,"If this character combines fire against a target within 6 squares, the attacker gets +10 Damage against that target."
316,Spotter +20,"If this character combines fire against a target within 6 squares, the attacker gets +20 Damage against that target."
317,Spotter +30,"If this character combines fire against a target within 6 squares, the attacker gets +30 Damage against that target."
318,Squad Assault,+4 Attack while 3 allies with the same name as this character are within 6 squares.
319,Squad Cover,+4 Defense while 3 allies with the same name as this character are within 6 squares.
320,Squad Firepower,+10 Damage while 3 allies with the same name as this character are within 6 squares.
321,Stable Footing,Not slowed by difficult terrain or low objects.
322,Staggered Activation 6,"Activates 6 times per round; each activation counts as 1 of your 2 activations in a phase. Each round, this character must use 4 activations to move or use move actions, 1 activation to use Heavy Laser Cannons, and 1 activation to use Medium Blasters. Not subject to commander effects."
323,Steal Force,Replaces attacks: touch; 1 adjacent character with a Force rating loses 1 Force point and this character gains 1 Force point.
324,Stealth,"If this character has cover, it does not count as the nearest enemy for an attacker farther than 6 squares when choosing targets."
325,Stomp,"Whenever this character moves, any characters occupying squares on its base or squares it moves into are immediatly defeated. Characters can avoid this effect with a save of 6."
326,Strafe Attack,"As this character moves, it can attack each enemy whose space it enters; this turn, this character cannot attack any enemy twice and cannot move directly back into a space it has just left. This ability is usable only on this character's turn."
327,Strong-Willed,Cannot be affected by Jedi Mind Trick.
328,Stun Gas,Replaces attacks: Adjacent living targets are considered activated this round and cannot make attacks of opportunity this turn; save 11 negates. Huge or larger characters ignore this effect.
329,Stun Mortar,Replaces attacks: sight; living target and each living character adjacent to that target are considered activated this round; save 11 negates. Huge and larger characters ignore this special ability.
330,Swarm +1 (Ewok),+1 Attack against a target for each allied Ewok adjacent to that target.
331,Swarm +1 (Mynok),+1 Attack against a target for each other ally named Mynock adjacent to that target.
332,Syncronized Fire (Alderaan Trooper),Alderaan Troopers who combine fire with this character grant +6 Attack instead of +4.
333,Syncronized Fire (Droid),Droid characters who combine fire with this character grant +6 Attack instead of +4.
334,Syncronized Fire (Imperial Navy Trooper),Characters named Imperial Navy Trooper who combine fire with this character grant +6 Attack instead of +4.
335,Syncronized Fire (Order 66),Allies with Order 66 who combine fire with this character grant +6 Attack instead of +4.
336,"Synergy (Anakin, +4 atk)",+4 Attack while an allied character whose name contains Anakin is within 6 squares.
337,"Synergy (Barriss Offee, +4 atk/+4 def)",+4 Attack and +4 Defense while an allied character whose name contains Barriss Offee is within 6 squares.
338,"Synergy (Force Rating, +4 atk/+4 def)",+4 Attack and +4 Defense while an allied character whose name contains Luminara Unduli is within 6 squares.
339,"Synergy (Imperial Knight, +4 atk)",+4 Attack while an allied Imperial Knight is within 6 squares.
340,"Synergy (Jacen Solo, +4 atk)",+4 Attack while an allied character named Jacen Solo is within 6 squares.
341,"Synergy (Jaina Solo, +4 atk)",+4 Attack while an allied character named Jaina Solo is within 6 squares.
342,"Synergy (Luminara Unduli, +4 atk)",+4 Attack while an allied character named Luminara Unduli is within 6 squares.
343,"Synergy (Luminara Unduli, +4 atk/+4 def)",+4 Attack and +4 Defense while an allied character whose name contains Luminara Unduli is within 6 squares.
344,"Synergy (Solo, +4 atk)",+4 Attack for each ally whose name contains Solo within 6 squares.
345,Tactics Broker,"Once per round, before initiative is determined, choose 1 other character in your squad. Remove that character from play; that character is defeated. An opponent's initiative check result automatically becomes 1."
346,Targeting,"Until the end of the round, target enemy has -4 Defense."
347,Teräs Käsi Style,"Whenever this character takes damage from a melee attack, reduce the damage dealt by 10."
348,Thrawn's Bodyguard,"If Grand Admiral Thrawn is an adjacent ally and would take damage from an attack, this character can take the damage instead."
349,Thud Bug,"Replaces attacks: range 6; 10 damage, living target is considered activated this round; save 11 negates. Huge and larger characters ignore the nondamaging effect."
350,Tow Cable,"Replaces turn: This character and an adjacent ally can move up to 12 squares simultaneously; during this move, that ally gains Flight. At the end of the move, that ally must be adjacent to this character."
351,Trandoshan,(NA)
352,Traps,Enemy characters within 6 squares get -4 Defense.
353,Triple Attack,"On its turn, this character can make 2 extra attacks instead of moving."
354,Troop Cart,"This character can transport up to 1 Large ally or 2 Small or Medium allies who end their moves adjacent to it. Remove those allies from the battle grid; they move simultaneously with this character, have cover, and are considered adjacent to it. They can make attacks, counting distance from this character. A transported ally can return to the battle grid immediately before your first activation of the round. If this character is defeated, all transported allies are also defeated; save 6."
355,Trooper (501st Clone Trooper),Counts as a character named 501st Clone Trooper.
356,Trooper (Sith Trooper),Counts as a character named Sith Trooper.
357,Turn to the Dark Side,"Replaces attacks: range 6; 20 damage to 1 target with a Force rating. The target can choose to negate this damage and instead make a save of 11; if the save fails, the target joins this character's squad until the end of the skirmish."
358,Twin Attack,"Whenever this character attacks, it makes 1 extra attack against the same target."
359,Ugnaught,(NA)
360,Vaapad Style,"Scores a critical hit on an attack roll of natural 17, 18, 19, or 20 and does triple damage instead of double on a critical hit."
361,Vicsious Attack,Triple damage instead of double on a critical hit.
362,Virulent  Poison +20,+20 Damage to living enemy; save 16.
363,Virulent Poison Dart,Replaces turn: range 6; 40 damage to target living enemy; save 16.
364,Vonduun Crab Armor 11,"When this character takes damage, it can reduce the damage dealt by 10 with a save of 11."
365,Vonduun Crab Armor 16,"When this character takes damage, it can reduce the damage dealt by 10 with a save of 16."
366,Vonduun Crab Armor 6,"When this character takes damage, it can reduce the damage dealt by 10 with a save of 6."
367,Walk 2,"1 activation: Move up to 2 squares."
368,Wall Climber,"This character ignores difficult terrain, enemy characters, low objects, and pits when moving as long as a square it occupies and a square it is moving into are adjacent to a wall."
369,Weak Spots 10,This character's Damage Reduction is reduced to 10 against attacks from adjacent enemies.
370,Wheel Form,This character can move up to 18 squares if it does not attack.
371,Wheeled,"Replaces turn: Can move up to 18 squares, then attack."
372,Wookiee,(NA)
373,Xizor's Bodyguard,"If Prince Xizor is an adjacent ally and would take damage from an attack, this character can take the damage instead."
374,Ysalamari,Characters within 6 squares cannot spend Force points. This character and characters within 6 squares gain Force Immunity.
375,Yuuzhan Vong Colaborator,Yuuzhan Vong get +1 Attack for each character with Yuuzhan Vong Collaborator within 4 squares of their target.
376,Yuuzhan Vong Warrior,Counts as a character named Yuuzhan Vong Warrior.
377,Force Empathic 10,This character takes 10 damage each time an ally with a Force rating is defeated.
378,Poisoned Blade,+10 Damage to 1 adjacent target; this counts as a melee attack. This attack deals an extra 20 Damage to a living enemy; save 11.
379,Swarm +4 (Shyrack),This character gets +4 Attack against a target for each other allied character named Shyrack adjacent to that target.
380,Long Shot 10,+4 Attack and +10 Damage when this character is at half Hit Points or less.
381,Flanking Attack,"Until the end of the round, an enemy attacked by this character has -4 Defense against allies with Mounted Weapon"
382,Ithorian,(NA)
